month,hour,wind_speed,wind_direction,temperature,pressure,pm25,pm10,fire_points_100km
3,23,5.5,199,25.0,981.0,68.13027282516776,104.71612727013547,1
3,0,5.0,257,24.1,981.5,68.99843854202378,97.62489697935976,2
3,1,5.7,259,24.1,982.4,52.06803355706519,84.88465931034132,3
3,2,6.7,251,24.7,983.0,51.75155035987829,76.84739399799714,4
3,3,5.9,252,27.2,983.9,52.63567757598892,96.12498970510102,0
3,4,7.3,261,30.4,984.5,46.53795078006575,83.61372871742677,3
3,5,10.1,271,32.6,984.7,50.66487002706904,72.26750854247338,4
3,6,11.0,284,34.3,984.5,62.85914587658022,119.5553464683115,1
3,7,11.8,295,35.5,983.7,96.06601980708017,148.82989305775612,3
3,8,12.2,294,36.2,982.9,100.27808501884974,166.39506108051333,1
3,9,12.8,290,36.2,982.0,100.51353237780624,181.0007728159046,0
3,10,10.5,299,35.9,981.1,95.74549040353313,158.71263396634188,4
3,11,6.5,283,35.7,980.6,63.78937313369419,106.19480577446406,3
3,12,5.2,272,34.9,980.4,63.412727688586514,91.274808882205,0
3,13,3.9,336,33.4,980.4,64.37490806884325,105.6306062434463,6
3,14,5.0,345,31.9,980.8,101.28604894923822,188.28152121977408,1
3,15,4.3,360,30.4,981.2,94.67202958259756,184.52580217609028,0
3,16,4.7,23,29.3,981.6,96.128036759342,158.4284522579851,2
3,17,1.8,354,29.1,981.7,92.39455653782916,152.8345939310821,2
3,18,1.6,264,28.1,981.9,72.02493031975328,131.19890347189315,1
3,19,5.2,274,26.6,981.9,88.36477950550326,173.69539530868246,0
3,20,7.0,267,25.1,981.6,97.20729704525456,151.66637915157585,1
3,21,10.1,268,24.0,981.5,105.7520465463748,175.98055553507498,1
3,22,13.3,271,23.6,981.6,92.73603006981624,174.119681287044,3
3,23,13.4,285,22.7,982.4,115.70434172687612,204.3125942773461,3
3,0,11.3,301,22.0,983.3,94.3061416123043,138.28598110577704,1
3,1,9.3,316,21.8,984.3,104.87838385807794,186.3310942816575,2
3,2,8.4,304,22.8,985.2,138.4473798594198,209.3390520837766,2
3,3,10.0,298,24.5,986.3,120.9445969965175,206.3471521121131,3
3,4,12.3,293,26.2,987.2,111.55567135282418,191.5926220372538,2
3,5,13.3,300,27.9,987.4,113.09487469385638,217.78929024570112,3
3,6,11.6,298,29.6,987.1,105.43325241272775,176.86391869665567,3
3,7,12.0,291,30.7,986.6,82.82997570546301,129.84969141457313,3
3,8,12.8,285,31.0,985.9,86.77542275700712,133.5109133652629,0
3,9,13.2,280,31.0,984.9,68.56332477541484,131.95362389955525,2
3,10,13.5,280,30.5,984.0,75.21087875740109,113.01235624307088,4
3,11,13.8,281,29.8,984.0,60.29842736815394,99.825321007491,4
3,12,13.5,280,28.6,983.8,83.91760070660163,126.90891222211252,2
3,13,12.8,298,27.6,984.3,70.17704125089793,130.80877146481262,0
3,14,14.6,305,26.3,985.0,64.728414382723,109.04301342307426,4
3,15,14.8,304,25.2,985.9,76.85833120499575,123.79465452861004,5
3,16,15.5,308,24.0,986.5,57.10953333798686,92.32668585199696,1
3,17,14.7,309,23.0,986.7,61.21047902325012,116.99333452690976,2
3,18,14.0,307,22.0,986.5,81.09657243516153,140.48070316751298,2
3,19,13.8,305,21.2,986.4,55.274666673226974,101.19247705454156,0
3,20,13.6,306,20.3,985.7,58.91670788388884,114.19372477096758,2
3,21,13.1,306,19.5,985.1,63.323279009226304,122.9133344606182,2
3,22,13.1,303,18.5,984.8,79.91829418496333,127.63794180714712,2
3,23,12.9,303,17.9,984.7,64.57220410329577,127.30221216201224,3
3,0,12.7,301,17.4,984.8,49.50813449670205,70.05032340288477,0
3,1,12.3,295,16.1,985.4,63.58644453128531,103.39800244258156,4
3,2,10.8,285,16.8,986.0,72.88257017665457,141.20847210524948,1
3,3,12.0,287,18.9,986.6,80.55170591417726,126.04586978557109,2
3,4,13.6,292,21.4,987.3,88.89325846521417,139.01562181858094,4
3,5,14.8,300,23.9,987.5,81.0035617950154,128.11307629512928,2
3,6,14.9,306,25.9,987.0,87.58701107292893,154.8002350333145,0
3,7,14.0,306,27.3,986.2,94.42439706511624,157.0277407219213,2
3,8,14.3,303,28.5,985.2,85.46668608820912,156.92033140027905,1
3,9,14.7,298,28.8,984.4,111.30663514655956,215.5949846336144,0
3,10,14.7,298,28.9,983.8,113.68346544558042,205.14404443066172,1
3,11,14.9,301,28.5,983.3,90.84556644298266,138.32873002922827,0
3,12,15.2,299,27.5,983.2,98.00931392819184,192.05994751762475,4
3,13,11.0,291,26.0,984.1,79.98815748196284,124.67719903845295,1
3,14,11.4,283,25.3,984.6,90.19561078990336,134.38573961849193,1
3,15,12.7,291,24.7,985.3,104.95498339602408,152.6024853098563,1
3,16,12.1,295,24.0,985.9,88.54925028114603,153.9012751075504,3
3,17,11.8,298,23.1,985.9,100.54496719169626,147.62589990303297,1
3,18,10.4,296,22.6,985.8,103.08218437657412,152.89825089107592,3
3,19,11.1,302,22.0,985.4,111.50486833883406,176.17973121623046,4
3,20,10.9,301,21.0,984.9,135.20627624475986,212.1375395222032,1
3,21,9.9,297,20.1,984.3,124.40482688024082,219.2689446385801,4
3,22,8.9,299,19.4,984.0,111.8583017268544,211.4174663607397,6
3,23,8.6,292,18.6,984.0,98.52975510978612,182.95101426085503,0
3,0,8.9,291,18.0,984.4,87.63962532432595,136.49789901294355,2
3,1,10.0,303,17.5,985.2,88.9191371506818,137.57447069990496,1
3,2,10.3,297,18.7,986.0,96.34450305786328,190.7115272963981,2
3,3,7.5,291,21.0,986.9,102.06041474202723,143.38893717851272,1
3,4,8.8,290,24.1,987.9,115.46212200336488,222.5916105149491,1
3,5,10.8,303,27.0,988.2,115.310938181197,175.25384320660316,1
3,6,12.3,304,29.0,988.1,136.78285552043704,269.2393505497895,6
3,7,12.4,303,30.4,987.5,130.334717469824,209.237318411268,0
3,8,12.6,295,31.1,986.6,169.30378322168588,281.757229271465,2
3,9,12.3,292,31.5,985.6,168.15841511599237,306.76675020443,4
3,10,12.2,289,31.4,985.2,144.8852102581489,253.92602681235465,3
3,11,11.9,288,30.7,984.8,120.73330176141734,192.05814148717425,1
3,12,11.6,289,29.7,984.7,122.2970578139234,211.85501586170795,2
3,13,9.4,296,28.1,985.1,113.11541025264329,207.95409975318375,4
3,14,8.9,306,27.0,985.5,118.91387663876034,169.499954814999,2
3,15,6.6,305,25.9,986.2,120.5210533434875,169.5393259205621,2
3,16,6.6,296,25.0,986.8,113.77651431928564,190.5574758385708,1
3,17,7.1,285,24.2,987.0,96.096957116331,142.13719864731928,2
3,18,8.2,289,23.6,986.8,70.16455303440995,126.198426411124,3
3,19,7.4,309,22.4,986.7,62.85037344996365,96.06248891701485,6
3,20,6.7,301,21.2,986.1,75.81131801981937,125.82485297525754,3
3,21,6.9,300,20.5,985.5,77.8415923797905,118.21044162780558,1
3,22,6.3,301,19.8,985.2,62.57135146113163,108.19150757432638,2
3,23,6.4,299,19.1,985.2,70.11193020278618,103.03874151039832,4
3,0,5.9,288,18.2,985.4,80.08049787844011,113.2229419951913,4
3,1,5.2,272,17.5,986.2,70.0145865475791,100.16839746753524,2
3,2,7.2,266,19.2,987.0,76.5190044820041,150.9379498527859,1
3,3,5.4,266,22.0,987.9,80.9402348104937,120.22633670149102,2
3,4,6.3,277,25.5,988.3,66.901656861985,122.10134099810246,2
3,5,8.3,292,28.8,988.5,76.77830158101077,110.61877736925916,2
3,6,9.7,301,31.1,988.2,88.7122393184332,129.9542232771586,2
3,7,9.9,307,32.7,987.5,107.28678403421904,182.9589155389644,5
3,8,10.6,305,33.5,986.7,123.5651364113207,207.4562949147564,1
3,9,11.4,297,33.8,985.7,96.94358225083226,191.070777549039,4
3,10,12.5,293,33.7,984.8,79.58184842702221,156.529638884295,0
3,11,13.4,292,33.0,984.5,85.74919259244989,160.1593566110972,3
3,12,13.5,289,31.8,984.2,91.28106259688803,160.7697845429765,3
3,13,10.5,286,30.5,984.7,96.27867163178996,161.0719252867719,2
3,14,8.1,282,28.5,985.2,150.8417768284318,243.41444935155187,2
3,15,7.8,296,27.3,985.6,150.72095680598613,296.6569042838946,2
3,16,7.0,302,26.5,985.8,159.08234572809653,280.2625728082817,0
3,17,10.6,305,26.4,985.7,163.88413760768492,286.37827373803174,2
3,18,7.8,322,25.0,985.4,163.6665926165034,251.90590951742263,3
3,19,6.0,319,23.4,984.9,148.97089468524788,212.73322198546344,4
3,20,5.9,308,22.4,984.3,151.85834352412212,298.7225441578922,5
3,21,5.9,301,21.5,983.6,131.48013095364635,208.82215508570764,0
3,22,6.0,309,20.7,983.3,125.97983875718155,209.82615053652245,1
3,23,5.6,312,20.1,983.4,117.30140166402686,172.29041797121062,3
4,0,4.4,302,19.6,983.9,117.99937358841902,224.4530510259089,0
4,1,5.1,309,19.0,984.6,152.11931472967976,215.4890419088132,4
4,2,6.3,285,21.3,985.4,120.09840536783555,228.23434388673425,6
4,3,5.4,268,23.8,986.7,129.5824676866697,192.32254164325005,2
4,4,6.8,267,26.7,987.3,103.63348285015796,200.21351204737675,3
4,5,8.4,280,29.6,987.4,97.39115657830068,178.99165992324,1
4,6,11.8,298,31.6,987.4,115.18629987498107,172.6414747675685,4
4,7,13.1,297,32.7,986.9,115.83187017391494,201.48847201805876,1
4,8,13.4,296,33.1,986.1,99.28251148758386,157.62029855560004,2
4,9,13.4,290,33.3,985.2,85.02470469992596,128.12711654152238,2
4,10,13.6,290,33.2,984.4,93.11620046395352,178.3649497987901,3
4,11,13.4,290,32.7,983.9,79.24908094180113,130.13599834939612,2
4,12,12.5,290,31.6,983.7,80.97105169135064,132.72177458617625,2
4,13,9.6,284,30.2,984.3,79.95752412077279,120.09076450827082,2
4,14,5.5,253,28.1,984.8,68.58776649460826,111.78704457853394,0
4,15,5.2,245,26.8,985.1,100.28815118502732,192.85111689506493,3
4,16,5.7,259,25.8,985.5,106.16812140129475,171.76698577354824,1
4,17,5.4,278,24.8,985.4,71.57417046130121,141.0699800021865,2
4,18,5.4,312,23.6,985.5,73.6135681367125,144.85570016954992,1
4,19,5.3,294,22.9,985.2,62.72541435151544,93.26887715854102,2
4,20,5.2,286,21.9,984.7,75.63937293830725,113.942149332445,0
4,21,4.7,302,21.1,984.1,62.587624567986026,120.01830689826164,2
4,22,2.4,312,20.9,983.9,65.80781548918394,107.63898453523366,2
4,23,0.9,307,21.2,984.0,78.0018431249724,109.40728758288378,2
4,0,2.5,274,20.1,984.5,94.387986725027,147.6533072246635,3
4,1,4.5,241,18.6,985.4,78.14474194668765,137.42357679723816,4
4,2,6.0,245,20.4,986.4,76.51274921440466,143.81027074562888,0
4,3,4.6,261,24.4,987.5,72.93729462554987,107.94961539454523,0
4,4,4.0,275,28.4,988.3,67.04362667438922,98.30773372496482,3
4,5,4.2,295,31.5,988.5,98.02107761116676,191.4602179919336,3
4,6,5.4,310,33.3,988.3,105.4936955144644,195.2360240410076,3
4,7,7.5,312,34.6,987.5,87.2310666479923,152.99175550504853,2
4,8,8.8,311,35.4,986.7,103.47588918901472,192.6216170929841,2
4,9,9.9,303,35.7,985.6,131.36064322530274,217.7056513661537,2
4,10,10.9,297,35.4,985.0,140.11155781103966,259.9172307071863,3
4,11,11.8,295,34.8,984.8,109.70985254062548,178.06806436501134,2
4,12,11.3,295,33.7,984.8,97.8753561935692,151.36000460757512,3
4,13,5.2,333,32.0,985.3,113.49148781201164,208.5301736272946,2
4,14,4.9,352,29.6,985.8,97.92729704652876,161.75663979490972,1
4,15,1.4,50,29.0,986.2,101.19185876406932,201.2530262708576,2
4,16,3.9,158,27.5,986.5,109.09218368910244,175.60471818772828,0
4,17,1.9,163,26.9,986.7,90.67900824652097,177.09940856555795,1
4,18,1.6,297,26.0,986.8,87.11822708094186,170.7323438117673,1
4,19,3.1,310,25.0,986.6,36.18739427181159,55.91356875127515,1
4,20,1.2,243,24.6,986.1,23.60284022461608,44.3481485222182,1
4,21,0.4,180,23.9,985.5,23.85403393125707,39.59399186804839,0
4,22,4.0,8,22.9,985.4,13.951882808658624,27.21335441314065,1
4,23,3.7,35,22.6,985.0,48.24286408676729,80.56918018561228,1
4,0,3.6,49,21.9,985.3,33.16645700868108,61.24459015763627,2
4,1,2.9,169,20.4,986.5,34.449144007358214,57.88077812531749,5
4,2,6.7,185,22.5,987.5,44.16533826591376,67.86801203225271,2
4,3,4.1,165,26.5,988.4,72.56790377531412,110.27491787035244,1
4,4,4.4,159,30.7,989.0,54.97318113009112,90.9948372422746,2
4,5,5.6,153,33.5,989.2,78.1233192994064,144.7856972105192,3
4,6,4.2,168,35.2,988.8,81.66448328475957,143.97798671124102,2
4,7,3.9,196,36.2,988.0,69.97540519056436,126.87783541891878,1
4,8,4.1,209,36.7,987.3,81.10941678545699,127.29277889026032,3
4,9,4.3,213,37.3,986.0,82.38437054051334,139.13576751632164,2
4,10,7.0,212,37.4,985.0,71.5426803290801,102.06544621060736,2
4,11,6.5,242,36.6,984.4,71.83544357102238,135.80630323985602,5
4,12,3.3,324,35.6,984.4,65.27219526099375,130.1485340660203,3
4,13,9.4,3,34.2,985.0,66.84773591366312,109.90619675540805,0
4,14,6.4,8,32.1,985.9,76.49492244011252,107.59608969373214,2
4,15,8.6,344,31.0,986.8,99.03568243828155,148.7392733721493,2
4,16,5.2,16,29.1,987.6,76.96488171205067,137.88382677286776,2
4,17,5.4,56,27.9,987.6,107.6638941606896,190.26875758479383,2
4,18,2.4,63,27.0,987.1,74.01618775178312,138.61150865720612,2
4,19,2.8,11,26.3,987.0,70.73779255107107,109.80842627113822,5
4,20,1.9,41,25.8,986.7,78.8887713932326,146.58947011903015,4
4,21,5.1,113,24.2,986.0,81.61477226993485,147.95047672311375,1
4,22,1.7,198,23.6,985.9,75.31280224563245,120.02516180089292,2
4,23,3.4,252,22.2,985.7,75.85968826571008,131.0319000905385,4
4,0,1.9,236,21.6,985.8,72.07870541925658,107.27937086219296,3
4,1,3.3,257,22.8,986.5,67.23036352316775,112.37815458262853,4
4,2,6.2,306,25.0,987.5,84.45135862616634,162.88288960257512,3
4,3,3.9,286,28.4,988.5,92.5614550530254,152.97768925769336,1
4,4,5.1,231,31.5,988.8,84.11166561881306,160.12674431418762,2
4,5,5.2,248,34.3,988.9,100.39449718843052,176.10720995521837,2
4,6,6.6,287,35.6,988.4,106.16454028273662,160.8526582183158,2
4,7,7.6,289,36.3,987.5,118.94101803704736,207.98784625109832,1
4,8,9.2,287,36.9,986.6,127.69134886219682,217.5337046881857,1
4,9,11.4,288,37.0,985.5,108.88728881214608,178.4863888557974,1
4,10,13.2,292,36.6,984.8,95.99584432797693,141.284597088371,3
4,11,14.2,297,35.8,984.3,104.00566397202816,171.61196632063613,1
4,12,13.4,302,35.0,984.0,109.16065155632734,157.59058521832085,3
4,13,11.3,318,34.0,984.1,104.3310624912324,152.24629553193503,7
4,14,10.2,316,32.2,984.7,102.05786699174088,168.3495463070651,0
4,15,7.5,307,31.0,985.0,117.41705372939316,185.8980715469021,1
4,16,8.4,313,30.0,985.4,103.2017775239164,201.7931802971768,1
4,17,9.4,329,29.0,985.5,107.48806048907534,174.71361768559223,3
4,18,9.2,344,28.0,985.3,100.1063646536594,185.66876342945548,1
4,19,5.2,340,26.1,984.8,93.23051013988518,160.18386262596147,0
4,20,5.0,316,25.2,984.4,106.78911190570452,194.61796662389585,2
4,21,4.5,293,24.5,984.2,114.89144594995452,178.77908517193612,1
4,22,4.7,277,23.6,984.0,126.80494589496864,249.18984972433583,3
4,23,5.4,270,22.9,983.9,144.90663341278673,248.9572904771296,2
4,0,6.3,267,22.2,984.1,141.93102769599943,269.4978466459619,4
4,1,5.9,270,22.0,985.2,149.16721949582396,241.50581794500755,2
4,2,7.3,261,23.5,985.9,140.79649619733974,205.5807387715891,2
4,3,6.5,268,26.0,986.6,142.77934186493238,257.6063420118985,2
4,4,7.8,279,28.9,987.1,137.74926186292385,193.49029810657103,3
4,5,9.5,291,31.4,987.2,136.62927515152225,230.24434613578404,0
4,6,12.3,299,33.2,986.7,143.09370301792373,216.8844271459602,3
4,7,13.8,299,34.2,985.5,127.71102246762926,226.86909174023185,7
4,8,13.6,296,34.8,984.6,157.52572935614825,313.10631901577534,3
4,9,13.1,293,35.2,983.8,133.08289569803793,223.3985041034948,3
4,10,13.8,296,35.1,982.9,107.96177693641816,204.1016263611463,0
4,11,13.6,299,34.5,982.4,120.93726234527738,206.15818494264295,3
4,12,12.5,300,33.8,982.2,127.11847652019368,215.78412473927253,1
4,13,9.7,304,32.8,982.7,130.16842612395664,254.90285361504056,0
4,14,8.5,298,31.2,983.0,132.97676615052518,257.1743425369011,0
4,15,5.4,278,29.9,983.1,125.89538794276896,235.6107357661456,1
4,16,5.8,274,29.1,983.1,106.2470335762046,167.63162398856173,3
4,17,7.2,274,28.7,983.1,103.15939859149005,178.15680226411556,2
4,18,6.2,282,27.4,982.7,89.08603305965937,136.68811608046502,1
4,19,5.2,299,25.6,982.5,101.20422575495972,168.64166349224257,7
4,20,4.2,306,25.0,981.8,95.27794245693168,161.0700142095178,1
4,21,3.6,276,24.4,981.5,79.76769025935084,151.47756944199193,1
4,22,4.8,257,23.7,981.5,78.17013360862086,151.4637812728105,3
4,23,6.2,260,22.9,981.4,87.74709206189314,144.67495175813738,0
4,0,5.8,265,22.1,981.7,81.71651456364421,115.27116771530297,1
4,1,6.1,256,22.0,982.6,72.41155717378332,138.81761144576325,2
4,2,7.2,238,23.5,983.4,80.02570962878367,120.40405843243995,3
4,3,4.4,249,26.8,984.1,86.89763723253616,154.08073610531335,1
4,4,5.4,256,30.6,984.9,81.8037258787156,115.75084384663684,1
4,5,6.9,264,33.5,985.2,77.7577787065692,127.49973184628831,2
4,6,7.4,283,35.4,984.9,84.66274989627682,168.61231613417718,4
4,7,7.0,302,36.7,984.1,65.67520978418929,95.91313772371564,0
4,8,7.2,307,37.6,983.1,49.19573219012205,81.3803619681087,1
4,9,8.2,296,38.0,981.9,39.8994956523233,63.21237077458181,4
4,10,9.7,297,38.0,981.1,39.10783881141326,75.98859859973422,5
4,11,10.3,297,37.2,980.9,46.260668414242,88.8946884626009,2
4,12,8.1,298,36.3,980.8,70.16494482706108,108.23779499929393,2
4,13,6.1,282,35.0,981.3,82.41334469238527,119.39325681673886,3
4,14,5.2,286,33.2,981.7,78.17293227369534,138.85725350627774,0
4,15,4.0,321,31.9,982.3,76.47039592778548,122.49190344417956,1
4,16,1.2,321,31.7,982.6,60.18541586543981,108.52938933879368,1
4,17,0.7,76,30.9,982.7,60.28917723900997,85.5667323344817,3
4,18,4.6,59,30.0,982.9,56.3303799313069,83.3711896638859,2
4,19,5.4,56,28.5,982.5,61.93812034324755,112.22093205278787,1
4,20,2.9,79,27.6,982.0,49.73584415563795,75.96764210710656,4
4,21,3.3,119,26.6,981.5,58.95245745369174,112.86758101608446,3
4,22,4.6,154,25.6,981.6,87.24829540336124,125.21478661203318,1
4,23,5.1,172,24.9,982.2,88.09206363617226,134.7182406146384,1
4,0,5.2,168,24.4,982.7,96.50853310403916,192.9336972240341,2
4,1,6.6,147,24.6,984.3,108.40983966930192,179.94360204464692,1
4,2,7.5,127,26.1,984.9,102.7505486240842,187.1888326295812,2
4,3,4.2,115,29.2,985.5,107.03688098883204,161.5826431973041,2
4,4,4.0,117,32.8,986.4,107.72207890167576,190.2287072562124,3
4,5,4.6,121,35.8,986.4,109.61501248974066,201.21629293755112,2
4,6,4.7,113,37.5,986.1,98.2583644829346,156.10168622111166,0
4,7,4.5,95,38.6,985.4,100.0001806485253,189.73416946991264,3
4,8,4.2,80,39.3,984.3,108.67013695235453,191.48227426852105,0
4,9,4.7,86,39.7,983.1,125.9702773740447,205.76914839595963,2
4,10,5.0,103,39.9,982.2,134.16231202791835,232.7159925045057,0
4,11,4.1,105,39.9,982.0,159.44381768779988,278.3979156077405,2
4,12,1.7,32,39.2,982.0,138.38922247569917,207.4898917348937,1
4,13,5.4,339,37.1,982.8,144.03510977893944,236.45371435370777,2
4,14,6.2,21,35.2,983.5,138.78172888712078,222.89155489680851,1
4,15,5.2,27,33.8,983.9,164.1505999966738,269.2958934663415,0
4,16,7.6,31,33.0,984.8,142.01106571667918,263.667167482775,1
4,17,4.8,48,31.0,984.9,121.6141315122996,205.469877724452,1
4,18,5.5,77,30.3,984.8,106.86182867940931,209.89690235433432,0
4,19,5.3,78,29.1,984.4,70.71720994682128,111.46487987348858,3
4,20,4.3,75,28.1,983.9,62.15916362692775,102.52670112344622,0
4,21,4.4,69,27.4,983.6,50.956257340929504,95.39898452788158,3
4,22,5.4,98,26.5,984.0,59.31653840397967,102.47612702110814,0
4,23,7.0,94,25.8,984.3,69.7112242002391,120.47611493587628,0
4,0,7.6,117,25.2,984.9,102.08266436845348,146.1827936902849,4
4,1,9.4,122,25.5,986.5,117.33075550439888,192.32385744849145,2
4,2,9.7,117,26.9,987.4,108.14412511902296,168.96873274640566,0
4,3,8.8,113,29.3,988.3,95.05349253689528,190.06906573558425,1
4,4,9.6,116,32.1,989.1,104.12693085580337,165.04254346938484,3
4,5,9.7,119,34.8,989.2,85.1107396649134,164.32312811529388,2
4,6,9.7,125,37.0,988.9,115.27154718623736,208.15047139931863,0
4,7,8.5,138,38.5,988.0,132.63599427843295,212.82106412922167,2
4,8,6.9,141,39.5,986.9,123.53476006901909,213.2358975096532,0
4,9,6.4,130,39.9,985.6,91.88426612575402,174.97718606495357,5
4,10,6.4,130,39.8,984.4,109.40392512565982,211.15187065761705,4
4,11,6.0,129,39.5,984.1,103.1454349343046,154.32994650701082,2
4,12,4.8,124,39.0,983.7,117.79813612047606,188.91804043520503,0
4,13,4.0,72,37.2,984.1,88.50190762651295,141.70340523483455,1
4,14,5.5,101,35.8,984.4,77.06109151955506,109.82953885437472,2
4,15,4.7,97,34.0,985.0,75.83363786337232,133.38702039080354,2
4,16,3.1,97,33.2,985.6,75.35498298350622,144.14594650522045,1
4,17,3.7,29,32.3,985.5,67.46850261296696,109.90245520738206,3
4,18,4.0,58,31.0,985.5,76.46440133688274,141.00200517222947,0
4,19,6.5,114,30.2,985.3,59.20365476245556,105.18241181607904,2
4,20,6.2,136,28.9,984.9,57.5475970108906,93.53724504392794,2
4,21,7.2,143,28.3,984.4,59.99727178548002,89.07410237655883,0
4,22,7.0,119,27.8,984.4,72.91412711781327,133.11161570634093,3
